Casenew,MCZ_1,MCZ_2,MCZ_8,MCZ_10,MCZ_17,QHealthr,RSEX,AGEXr,Martstat3r,HighEd4r,GorA
4027,8,7,8,7,8,1,1,2,1,2,6
4032,10,10,8,6,10,2,1,4,1,3,10
4034,10,10,8,10,10,1,2,5,1,4,8
4037,8,8,10,8,8,2,1,3,1,2,4
4040,9,9,10,10,10,1,1,5,2,4,2
4041,9,10,10,10,10,3,2,6,1,4,6
4060,7,7,7,6,8,2,1,5,1,1,4
4068,6,8,7,7,10,3,2,6,3,2,2
4072,8,8,7,8,7,2,1,5,1,3,11
4080,8,7,7,9,7,1,1,2,1,1,9
4082,10,10,9,10,10,1,2,5,1,2,8
4086,5,8,9,2,10,1,2,2,3,2,8
4089,8,9,8,9,8,1,2,2,1,1,5
4092,5,7,9,7,9,4,1,4,1,2,4
4099,9,9,9,9,9,2,1,2,1,2,8
4104,7,6,9,10,8,1,1,2,1,1,4
4134,8,8,9,7,8,1,2,5,3,1,4
4145,7,8,9,9,6,3,2,2,1,2,6
4145,7,10,10,10,9,2,2,6,3,2,7
4148,9,8,10,9,10,2,1,5,3,3,9
4152,8,8,10,7,7,1,1,2,1,2,8
4153,10,8,8,7,7,3,2,5,1,4,7
4154,4,4,2,0,5,4,2,4,3,4,8
4155,0,0,0,0,7,3,1,1,2,4,2
4181,9,9,9,5,9,1,2,1,2,2,3
4186,8,8,8,7,6,1,2,2,1,2,2
4186,8,8,10,8,7,1,2,2,2,1,8
4196,5,6,7,4,9,2,1,1,2,2,4
4206,5,5,7,6,7,2,1,6,3,4,3
4206,8,9,9,7,7,2,2,2,1,2,8
4212,8,8,8,8,10,3,1,5,1,2,4
4230,9,9,10,8,10,2,1,5,1,1,7
4234,10,10,10,10,10,2,1,4,3,3,2
4235,9,10,7,9,8,3,2,4,1,3,6
4236,7,7,9,7,9,2,1,5,2,4,7
4246,8,6,9,8,9,3,2,2,1,1,2
4252,9,10,10,9,10,2,2,4,1,2,8
4256,7,8,7,4,9,3,2,3,1,2,5
4261,7,7,8,4,6,2,1,1,2,2,4
4271,9,9,10,8,9,3,2,5,1,1,9
4287,8,7,8,5,9,2,1,3,3,2,3
4287,9,8,9,10,7,1,1,3,1,1,4
4289,10,8,9,8,9,2,2,3,1,2,5
4300,10,9,8,10,6,2,1,6,3,4,2
4302,9,8,7,8,8,2,1,3,2,2,3
4319,8,8,10,9,8,1,2,2,1,1,10
4320,8,8,8,6,8,2,1,2,2,2,11
4326,6,10,4,10,10,3,2,5,3,4,3
4326,10,10,10,8,10,1,1,5,1,2,8
4329,9,9,10,10,8,2,1,4,1,1,5
4339,8,9,10,10,9,1,1,3,2,1,8
4349,8,10,8,7,10,1,1,3,1,2,9
4351,8,5,8,9,10,2,1,5,2,4,7
4362,7,8,1,3,7,2,2,2,1,2,10
4362,8,7,8,6,8,1,1,2,1,1,11
4373,7,7,5,9,7,2,2,5,3,2,8
4384,6,8,7,4,4,1,1,4,3,1,2
4391,8,8,8,7,5,2,1,3,1,2,2
4402,8,10,8,7,10,2,1,3,3,4,9
4425,8,7,5,10,3,3,1,5,1,1,5
4430,9,6,9,10,10,2,2,5,1,2,4
4430,4,6,5,0,4,2,2,2,1,2,8
4446,10,10,10,10,10,2,1,3,1,4,4
4451,10,10,10,10,5,1,2,2,1,1,11
4469,0,2,2,0,8,4,1,3,1,1,7
4483,7,9,8,6,10,1,1,2,2,3,2
4509,3,3,1,2,7,4,1,2,2,2,7
4514,8,8,9,4,9,2,1,2,1,2,9
4517,8,8,9,7,9,2,1,6,2,2,2
4526,8,8,9,9,10,2,1,6,3,4,9
4561,4,99,6,5,98,4,1,6,1,2,4
4562,2,2,6,4,8,1,1,2,2,3,11
4563,0,5,1,7,5,5,2,1,2,2,8
4596,8,9,7,8,9,2,2,3,1,1,2
4596,7,8,9,8,10,2,2,2,1,3,5
4603,7,7,9,6,8,1,2,2,1,1,7
4606,7,7,8,9,8,1,1,3,1,1,6
4619,10,10,10,10,10,2,2,4,3,1,7
4620,8,8,8,9,8,2,1,5,1,1,11
4623,8,8,9,10,7,1,2,3,1,2,7
4635,8,9,8,9,9,1,1,6,3,2,4
4638,10,8,8,8,6,2,1,3,1,2,3
4640,8,8,9,6,9,1,1,2,2,1,5
4669,10,10,8,3,9,2,1,1,2,2,3
4674,2,2,7,2,9,4,1,6,1,2,11
4680,7,6,9,8,9,4,2,4,1,2,6
4692,7,7,8,8,9,1,1,1,2,2,1
4693,5,5,4,0,3,1,2,1,2,4,8
4698,9,9,9,9,5,2,2,5,1,2,4
4704,9,9,9,9,6,2,2,6,3,2,7
4706,7,7,10,7,8,1,2,4,3,3,9
4708,7,8,10,8,9,1,2,3,3,2,5
4712,10,10,10,6,8,1,2,1,2,2,8
4717,9,6,7,5,7,4,2,5,1,4,4
4717,8,8,9,5,8,2,2,3,1,2,7
4719,10,9,10,10,9,2,2,4,1,1,8
4734,8,8,10,10,9,1,2,3,3,2,2
4736,7,7,7,8,7,3,1,5,3,1,2
4737,10,10,8,10,0,3,2,4,1,4,2
4738,9,9,9,5,6,2,2,2,2,2,1
4740,8,9,7,5,9,2,1,2,2,1,7
4741,5,9,8,10,10,2,2,2,3,4,7
4746,9,9,9,6,9,1,1,6,3,1,5
4749,10,9,9,8,7,3,1,5,1,4,9
4777,9,9,10,9,9,1,1,3,2,2,8
4793,9,9,8,8,9,2,2,6,2,4,5
4797,7,7,8,6,6,2,2,2,1,2,4
4800,9,9,10,8,9,1,2,3,1,3,9
4807,8,7,7,4,8,2,1,2,1,1,8
4808,8,10,8,9,9,4,2,2,2,1,5
4816,9,10,9,9,8,2,2,3,2,2,3
4819,7,10,10,6,9,1,2,2,1,1,10
4821,5,8,10,8,2,2,2,6,3,2,3
4852,9,9,10,6,6,2,2,1,2,1,8
4859,9,6,9,6,6,4,2,5,3,2,9
4872,9,10,9,9,8,1,1,6,1,1,6
4879,10,10,10,8,10,1,2,2,1,1,8
4889,9,9,6,8,9,1,2,2,1,1,10
4892,8,7,10,8,6,3,1,2,1,4,2
4899,9,8,7,6,8,2,2,4,1,2,8
4903,7,10,6,4,6,1,1,2,1,2,4
4924,8,9,6,7,10,2,1,4,1,4,8
4926,10,8,7,10,8,2,2,3,2,2,6
4926,3,10,4,9,5,1,2,3,1,3,10
4927,8,9,8,7,9,2,1,1,2,2,2
4932,9,8,9,9,7,3,2,2,1,2,8
4932,9,9,9,8,10,1,2,5,2,1,7
4944,8,9,6,7,9,2,1,4,1,1,2
4945,6,10,10,9,10,2,2,6,3,2,3
4961,10,10,8,10,5,3,2,3,1,2,3
4964,8,8,6,7,7,2,2,2,1,1,2
4965,10,7,7,6,10,3,1,6,1,1,10
4968,9,9,9,5,7,3,2,2,1,2,4
4971,8,9,7,9,9,3,1,3,1,1,5
4973,8,7,10,4,8,2,1,2,1,2,3
4975,9,8,9,8,8,1,2,5,1,3,8
4976,8,8,9,5,8,1,2,2,1,1,10
4987,7,10,10,6,8,2,1,4,3,2,2
5009,8,8,10,3,9,1,1,2,1,2,8
5014,9,7,6,7,8,3,1,5,1,2,8
5036,9,8,10,10,7,1,2,4,2,1,7
5039,9,10,10,6,10,1,1,2,1,1,5
5058,9,9,9,9,6,1,1,2,1,2,3
5069,8,8,8,9,4,1,1,2,1,2,8
5069,8,9,9,7,8,1,1,2,1,3,5
5075,6,8,8,9,6,2,1,5,2,2,7
5078,8,10,10,10,10,2,2,3,1,2,5
5085,10,10,10,9,8,2,2,3,1,2,2
5087,9,9,9,8,8,2,1,5,1,4,3
5092,8,7,10,9,8,2,2,5,1,2,7
5092,6,6,5,5,5,1,2,2,2,3,7
5097,8,9,8,9,8,3,1,2,1,2,7
5099,8,6,8,7,10,1,1,2,2,2,9
5101,8,5,8,8,7,2,2,6,3,2,9
5119,8,10,10,10,10,3,1,4,1,3,8
5132,7,8,9,7,7,1,2,1,2,2,9
5146,6,8,9,8,9,3,2,4,1,2,2
5150,10,8,8,10,10,1,2,4,3,2,2
5162,10,8,9,10,10,2,1,4,1,4,2
5163,5,5,5,8,8,3,1,4,1,1,9
5164,7,7,8,7,6,2,1,3,3,2,6
5176,6,8,8,6,7,1,1,2,1,1,5
5178,10,10,10,10,7,2,2,1,1,2,3
5184,10,8,10,6,9,2,1,2,1,3,9
5191,5,10,10,10,7,4,1,5,1,4,6
5195,8,7,9,8,9,1,2,1,1,2,1
5199,7,6,5,7,4,3,2,2,1,2,4
5199,10,10,10,10,10,2,2,6,1,4,8
5209,8,10,10,8,10,4,2,6,1,4,11
5215,9,9,9,9,8,1,1,4,1,4,11
5219,6,8,9,9,2,1,1,2,1,4,7
5234,7,7,6,5,9,2,2,3,1,2,4
5239,9,9,8,8,8,2,2,5,3,2,5
5246,7,9,10,4,8,1,1,2,1,2,3
5269,8,7,8,5,8,1,1,4,3,2,10
5281,5,5,10,9,10,3,2,5,3,2,6
5298,7,7,9,4,9,1,1,1,2,3,7
5300,10,10,10,7,10,1,2,2,1,4,9
5305,10,8,10,8,10,1,2,2,1,1,11
5306,6,8,4,6,8,2,2,2,1,1,5
5309,7,7,7,8,7,3,2,6,3,4,5
5313,8,8,9,7,9,1,1,2,1,2,6
5326,10,8,9,10,10,2,2,6,1,1,5
5333,6,7,8,3,5,2,1,2,1,2,4
5338,9,10,7,6,9,1,1,3,1,1,3
5351,9,10,10,8,8,2,1,6,1,1,6
5356,9,8,9,9,8,2,1,2,2,2,2
5360,10,10,10,5,5,3,2,4,3,4,9
5362,8,8,7,7,8,2,1,6,3,4,9
5374,7,6,8,9,6,2,1,5,1,3,8
5383,8,8,8,9,9,2,2,5,1,4,3
5404,5,7,7,9,8,1,2,4,1,1,5
5411,9,9,8,9,9,2,1,3,1,1,5
5428,8,8,7,7,8,2,1,2,1,1,9
5429,8,9,10,9,9,2,1,5,1,1,3
5445,8,8,9,6,8,2,1,5,3,4,9
5452,8,8,9,0,8,2,1,1,2,4,2
5460,9,9,10,10,8,1,2,6,3,4,3
5464,8,8,8,7,9,3,1,2,1,3,10
5490,9,9,10,7,9,1,1,5,3,1,8
5500,10,8,10,10,7,3,2,3,1,2,2
5506,10,10,10,5,6,2,1,5,1,3,1
5514,8,8,8,8,5,1,2,5,1,4,5
5514,7,7,10,8,8,1,1,4,3,4,10
5524,6,6,5,8,9,3,2,6,1,3,8
5524,9,8,10,10,9,2,1,5,3,1,3
5534,10,10,10,8,10,3,2,5,2,4,2
5536,3,3,0,3,9,2,2,3,3,3,8
5543,9,10,9,9,8,1,2,5,3,3,6
5543,9,9,9,10,10,1,1,2,2,1,7
5548,0,10,0,3,0,5,2,3,3,3,9
5555,8,8,10,6,8,3,2,5,3,2,6
5557,8,7,9,7,8,1,2,2,1,1,10
5569,5,7,5,7,9,2,2,3,2,2,9
5576,7,7,9,8,6,1,1,2,1,1,8
5584,8,8,9,8,9,1,1,2,1,1,8
5589,8,9,7,10,6,2,1,1,1,1,7
5602,9,8,10,10,10,1,2,1,1,1,4
5606,8,9,8,2,10,2,2,5,3,2,8
5608,8,10,8,9,10,2,2,6,3,4,5
5620,7,7,7,7,10,2,1,4,1,4,10
5620,8,8,8,8,8,1,1,2,1,1,7
5624,8,8,8,5,10,3,2,5,3,4,8
5628,10,10,10,9,10,1,1,4,1,3,9
5629,8,8,8,6,8,2,2,2,2,1,11
5631,8,7,9,8,7,1,2,3,3,2,1
5633,8,7,9,7,7,1,1,2,2,3,3
5634,9,8,10,9,8,2,1,3,1,2,5
5637,4,5,5,6,6,1,1,3,1,3,2
5638,8,8,9,9,7,2,1,1,2,2,8
5640,7,7,7,4,7,1,2,4,3,2,9
5659,5,8,5,7,7,2,2,3,3,2,8
5661,5,8,10,10,0,1,2,3,3,4,1
5662,6,6,7,8,8,1,2,2,1,2,3
5683,9,9,8,8,9,2,2,2,1,2,10
5685,9,5,10,10,10,3,2,6,3,2,3
5687,8,8,4,6,8,3,2,2,1,3,6
5695,5,9,6,5,10,3,2,3,2,2,9
5695,8,7,9,8,7,2,2,2,1,1,6
5700,10,10,10,10,8,1,1,3,1,2,9
5700,8,8,10,8,9,1,2,3,1,1,6
5701,6,8,9,5,8,3,2,6,1,4,6
5707,2,2,0,0,10,4,1,2,2,2,2
5708,8,9,9,9,7,2,1,2,1,2,8
5715,7,7,7,5,10,1,2,2,1,2,4
5725,8,9,9,5,9,1,2,3,1,1,7
5726,8,8,9,7,7,1,1,2,3,2,6
5731,9,10,10,10,5,2,2,2,1,2,2
5743,9,9,8,9,9,1,2,5,3,1,3
5749,8,6,10,9,9,1,2,1,2,2,11
5752,5,5,9,2,5,2,1,1,2,2,7
5755,6,6,7,7,7,2,2,2,1,2,2
5758,7,10,9,9,7,3,1,5,1,3,11
5759,7,8,9,5,8,2,1,3,3,3,4
5763,9,8,9,9,8,2,2,3,1,1,3
5765,9,9,9,8,10,1,1,2,2,1,8
5766,8,9,8,7,9,1,2,3,3,2,8
5767,6,6,8,4,5,3,2,6,3,2,3
5770,3,5,0,7,8,5,1,5,1,1,3
5772,9,9,9,9,7,2,2,4,1,4,3
5772,9,7,9,9,10,2,2,2,1,2,8
5772,7,7,8,5,7,1,2,4,3,1,9
5776,8,8,9,9,8,1,2,4,1,1,11
5780,10,9,10,5,10,2,2,4,3,4,10
5790,8,8,9,8,8,1,2,3,2,1,11
5799,8,7,7,10,8,2,2,6,3,2,6
5799,8,7,8,8,6,2,2,5,2,2,6
5802,7,9,9,5,8,1,1,2,1,2,9
5814,9,10,9,9,8,3,2,6,1,2,2
5816,8,6,9,7,9,2,1,1,2,1,8
5825,8,10,10,8,10,3,2,4,2,4,3
5834,10,7,6,6,10,3,2,6,3,2,11
5836,7,7,7,5,6,3,2,2,2,1,9
5845,8,10,5,5,10,2,2,4,1,2,8
5866,9,9,10,8,10,1,2,6,1,2,3
5876,10,8,9,8,10,3,2,5,3,4,4
5878,7,7,7,6,8,2,1,2,2,1,10
5882,8,8,9,9,9,1,1,5,1,1,11
5904,8,7,8,8,9,3,1,3,1,2,2
5911,10,10,10,6,10,1,2,5,3,2,11
5914,10,10,10,8,10,4,2,4,1,4,8
5923,8,8,7,7,8,3,2,2,1,1,7
5924,8,5,6,8,8,4,1,5,1,4,2
5925,7,8,7,6,6,2,2,5,3,1,6
5950,9,9,8,9,9,1,2,2,1,2,7
5951,10,10,10,2,10,2,1,3,1,3,1
5954,7,8,9,6,8,2,1,2,1,2,1
5954,8,8,8,7,9,2,1,4,2,2,8
5955,6,7,8,2,6,2,1,4,2,1,9
5964,10,10,10,7,7,1,2,2,1,1,8
5985,9,8,8,8,9,1,1,5,1,1,6
5995,7,8,8,6,6,2,2,2,1,2,4
5997,7,8,9,9,10,2,2,6,1,3,3
6001,5,7,6,2,2,2,2,2,2,1,9
6001,4,4,10,0,10,1,1,1,2,1,3
6023,7,7,8,6,9,3,1,3,1,2,4
6037,10,9,9,10,10,2,1,5,1,2,8
6044,8,8,10,8,9,1,2,5,1,2,6
6048,8,8,10,8,7,1,2,2,1,1,8
6051,7,8,9,8,10,2,2,4,1,3,1
6052,7,8,10,8,8,4,1,5,1,4,7
6057,6,6,5,1,0,3,1,3,3,2,4
6062,8,8,8,6,7,1,2,2,3,2,11
6064,9,10,10,8,7,2,1,3,1,3,1
6070,8,10,10,8,9,2,1,2,2,1,8
6075,10,10,10,10,10,2,1,6,1,4,4
6089,8,8,7,8,9,2,2,4,1,1,3
6093,10,10,10,7,10,1,2,2,1,2,10
6093,8,8,8,8,5,1,1,3,1,2,11
6102,8,8,8,5,5,2,1,2,1,2,7
6107,5,6,4,4,5,3,1,3,1,2,3
6123,5,4,9,9,8,3,2,6,3,4,5
6134,7,8,10,6,10,1,2,1,2,2,11
6147,10,10,10,5,5,1,1,3,1,2,11
6158,8,9,9,9,8,3,1,3,1,2,6
6158,7,7,9,9,6,3,1,3,2,2,8
6159,10,10,10,7,8,1,2,1,2,3,3
6163,5,8,3,1,8,3,2,6,3,1,2
6163,8,8,9,6,8,1,2,2,1,1,6
6178,8,8,7,5,3,2,1,3,1,4,8
6181,9,9,7,6,5,1,2,2,2,4,9
6183,8,8,10,10,10,1,1,6,3,2,9
6188,8,8,7,7,3,1,2,2,1,1,2
6191,8,9,10,8,9,2,2,6,3,2,5
6194,10,6,10,7,10,2,2,5,3,4,10
6204,7,10,9,1,10,1,2,2,1,2,6
6215,9,9,9,7,10,1,2,2,1,1,5
6219,5,10,10,5,10,3,2,3,3,4,1
6230,9,9,9,9,9,1,2,4,1,2,3
6236,7,8,8,8,8,2,1,2,3,1,5
6254,8,8,9,8,10,3,2,3,1,2,2
6260,7,9,8,7,7,3,2,5,3,2,1
6261,9,8,9,9,8,1,1,4,2,4,8
6262,7,9,9,6,8,2,1,2,3,2,9
6270,8,9,6,10,10,1,2,5,2,1,11
6273,8,8,7,4,6,2,2,2,2,2,2
6275,4,9,6,8,9,2,2,4,3,1,6
6290,7,8,8,4,7,2,1,1,2,2,8
6309,8,10,5,9,9,2,2,3,1,3,1
6327,8,10,10,8,7,1,1,4,3,2,9
6329,10,10,10,8,10,2,1,4,3,2,1
6333,9,9,8,9,10,1,2,4,1,2,2
6348,2,2,4,6,8,4,2,6,3,4,8
6353,8,7,10,10,8,1,2,6,3,3,11
6360,8,10,10,6,10,1,2,2,3,2,2
6360,7,8,7,6,5,1,1,1,2,2,4
6375,8,8,9,7,4,1,1,2,2,2,3
6389,7,8,7,7,7,2,1,2,1,2,8
6389,8,8,8,7,7,2,1,2,1,2,6
6389,7,7,5,4,8,1,1,1,1,2,11
6390,8,8,7,5,8,2,1,2,3,2,3
6390,8,6,9,3,6,1,1,2,2,1,10
6425,0,4,4,0,0,3,2,2,3,4,1
6438,8,8,10,5,6,3,1,5,1,4,11
6439,4,4,0,0,8,2,2,2,1,2,2
6442,9,9,10,10,8,3,2,2,2,2,8
6444,8,10,10,10,8,2,2,4,3,4,11
6453,7,7,8,7,7,2,1,2,1,1,7
6455,8,8,7,7,7,2,1,4,2,1,8
6470,9,8,10,0,5,1,1,4,1,2,7
6472,6,5,4,4,10,2,2,2,2,2,1
6477,5,4,8,3,10,2,2,4,1,3,8
6517,9,8,9,9,10,1,1,4,1,1,2
6524,8,9,9,8,5,2,1,5,2,2,4
6526,10,9,6,9,8,3,2,5,1,2,1
6533,7,9,8,7,3,1,2,4,1,1,10
6534,8,8,9,6,10,2,2,6,3,3,10
6535,5,3,5,3,7,2,1,3,2,2,5
6540,5,7,9,6,4,1,2,2,3,2,5
6547,7,6,3,5,1,3,2,1,2,2,5
6567,8,8,8,7,8,1,1,2,1,2,3
6577,8,7,8,8,9,2,1,4,1,2,4
6587,7,9,8,8,9,5,1,6,3,4,5
6587,8,8,8,8,7,2,1,6,1,1,2
6590,7,7,8,8,8,3,2,6,3,4,2
6605,8,8,10,2,7,2,2,2,2,2,4
6607,9,10,8,8,8,2,1,4,1,1,9
6609,10,10,8,4,8,3,2,3,3,2,11
6614,8,7,8,6,9,1,2,2,1,4,5
6615,5,9,8,8,10,4,2,6,1,4,2
6616,8,10,10,5,10,1,2,3,3,2,9
6620,9,10,10,10,8,1,1,2,1,2,7
6622,0,0,4,8,0,4,1,4,3,3,11
6624,9,9,9,9,7,1,2,3,1,1,9
6625,9,9,8,6,10,1,2,2,1,1,3
6629,8,8,10,8,10,2,2,6,1,4,9
6637,8,9,10,6,9,1,1,2,1,2,7
6639,9,6,9,9,8,1,1,3,3,2,11
6647,5,3,2,3,1,3,2,1,2,2,3
6651,6,8,7,4,8,1,2,2,3,2,10
6665,7,7,8,8,5,1,2,2,1,2,6
6666,7,8,8,7,6,2,1,2,3,1,4
6669,6,7,8,6,8,3,2,3,3,2,10
6672,9,8,8,6,7,1,2,2,1,1,2
6673,5,7,7,8,10,1,2,4,3,2,8
6679,8,8,8,7,6,1,2,2,1,1,6
6683,8,7,8,3,8,3,1,2,1,3,1
6685,9,9,10,8,8,1,2,2,1,2,2
6687,8,7,3,4,8,3,1,4,1,1,4
6688,10,10,9,9,8,2,2,6,1,4,8
6689,7,8,7,8,6,2,2,2,2,2,5
6694,7,8,8,9,6,2,2,3,1,2,9
6717,8,9,10,7,6,2,1,1,2,2,5
6718,10,10,10,6,9,4,2,4,3,4,2
6724,8,8,9,7,8,1,1,1,2,3,7
6736,6,6,8,2,5,4,2,2,3,2,8
6737,7,8,8,8,8,1,1,5,1,1,5
6749,9,9,10,8,7,2,2,4,1,2,8
6754,6,6,7,5,7,2,1,3,1,3,2
6773,7,9,7,9,3,1,2,2,2,2,4
6780,8,10,10,7,7,1,2,2,2,2,2
6800,8,8,8,8,10,4,2,6,1,1,5
6802,8,5,8,10,10,2,2,3,1,2,1
6804,5,6,4,5,9,4,2,4,3,4,2
6806,7,7,8,8,8,4,2,6,3,2,5
6820,9,6,8,7,9,1,2,2,1,1,8
6825,10,7,10,8,9,2,1,2,1,2,9
6826,9,9,9,4,9,1,1,2,1,2,4
6826,8,8,9,8,9,1,1,3,1,2,4
6830,8,8,4,9,9,4,2,5,1,4,11
6840,8,7,8,5,7,1,2,2,1,2,6
6843,7,7,6,7,9,3,2,5,3,2,8
6844,10,8,10,6,7,1,1,2,2,2,8
6847,7,7,8,5,7,2,1,3,1,2,7
6865,8,99,10,10,5,1,2,2,2,3,1
6893,9,9,10,8,9,1,1,3,1,2,5
6908,7,8,7,4,4,2,2,3,1,1,5
6913,7,4,4,2,6,2,1,4,2,2,5
6914,7,6,10,9,9,3,1,2,1,2,6
6916,7,6,4,5,6,1,1,1,2,2,7
6937,9,10,10,9,10,2,1,3,2,2,7
6937,8,9,10,8,4,1,1,3,2,1,8
6943,9,8,8,8,7,2,1,5,1,1,4
6944,6,6,4,6,10,4,2,3,1,2,11
6944,7,8,8,6,10,1,1,4,1,3,11
6956,10,10,8,0,10,3,2,5,3,3,7
6957,9,10,8,8,9,2,2,3,1,2,4
6963,10,9,10,8,9,1,2,2,1,1,6
6971,9,10,9,8,8,2,2,2,1,2,5
6990,8,10,10,10,10,1,1,3,1,3,10
7003,8,6,6,7,10,1,2,2,1,1,7
7004,7,8,8,8,8,2,2,6,3,4,4
7017,7,7,8,8,8,2,1,4,1,2,4
7033,8,8,10,10,5,2,2,4,1,1,4
7049,6,9,7,3,10,2,2,2,2,1,8
7060,9,10,9,10,10,1,2,2,1,1,5
7070,8,10,7,8,9,2,2,5,3,2,2
7071,9,8,9,9,10,2,1,2,1,1,3
7086,10,8,8,8,8,2,1,5,3,2,7
7100,6,8,6,4,9,2,2,2,3,2,2
7106,9,8,7,6,8,2,2,3,3,2,3
7107,10,10,10,7,10,2,2,3,2,2,2
7109,7,8,10,6,4,1,2,1,2,1,7
7128,4,5,9,2,8,1,1,2,1,4,6
7129,6,9,4,8,8,3,2,3,3,2,11
7144,8,7,8,3,6,2,2,1,2,2,4
7160,8,10,8,5,5,2,2,2,2,4,3
7161,10,8,10,8,7,4,2,5,3,4,4
7193,8,9,9,7,7,3,2,5,1,3,3
7194,8,5,9,2,5,2,1,1,2,4,6
7199,8,7,6,7,4,2,2,1,2,2,11
7206,6,6,5,7,10,3,2,5,3,2,10
7208,10,10,10,8,5,2,1,6,1,4,3
7220,9,9,9,8,9,1,2,2,2,1,5
7232,10,8,10,7,10,1,1,2,1,3,9
7249,8,9,10,6,9,2,2,4,1,2,2
7259,2,7,2,0,8,5,1,3,2,2,7
7262,8,8,10,8,6,2,1,2,1,3,4
7262,10,10,8,10,10,1,1,6,3,4,3
7266,10,8,10,0,8,2,1,3,3,1,2
7279,7,8,10,7,10,2,2,2,2,1,9
7280,7,7,8,8,7,3,1,4,2,2,10
7292,5,4,6,5,6,2,2,6,3,4,5
7343,9,10,9,10,7,2,2,5,1,3,9
7357,8,8,6,6,10,1,1,6,3,4,11
7359,10,9,9,9,7,2,2,4,1,4,2
7364,8,8,5,7,8,2,2,2,1,1,2
7366,5,7,7,7,9,3,2,6,2,3,2
7373,7,7,8,7,3,1,2,3,1,1,5
7377,10,10,5,7,10,3,1,4,1,3,2
7380,7,8,7,7,7,1,2,2,1,1,2
7385,8,5,10,7,7,1,1,1,2,2,7
7387,8,8,8,8,8,2,2,2,1,2,8
7391,9,10,10,8,10,2,1,1,2,2,8
7393,7,10,8,3,5,3,2,5,3,2,3
7397,10,8,10,10,6,1,2,3,1,2,3
7407,8,5,8,3,8,4,1,1,1,2,6
7425,10,5,10,10,10,3,1,5,3,4,11
7431,7,7,7,4,9,2,2,4,1,3,10
7439,10,10,10,8,10,2,1,4,1,3,11
7444,9,8,8,9,9,3,1,5,1,1,7
7447,8,8,9,9,10,1,1,3,1,2,5
7459,10,10,10,8,10,2,2,5,1,4,9
7475,9,9,8,9,7,1,2,2,1,1,6
7485,8,7,10,8,10,2,2,2,3,3,3
7486,8,7,9,4,8,1,2,2,2,1,4
7491,8,9,7,9,9,4,2,5,1,3,1
7491,8,9,8,6,8,2,2,5,3,2,5
7508,7,7,7,8,9,2,1,5,1,2,3
7512,7,8,8,7,7,2,1,3,1,2,4
7530,9,7,10,7,5,2,2,5,1,4,7
7539,10,10,10,10,10,2,2,5,1,4,8
7540,10,10,8,6,7,2,1,4,1,3,2
7542,8,8,5,8,6,3,1,3,1,2,4
7544,6,7,5,5,9,1,1,3,2,1,11
7569,8,10,10,5,6,2,2,3,3,2,6
7569,5,7,9,3,1,2,1,3,1,1,6
7575,10,9,8,7,5,3,2,1,2,2,6
7580,6,9,6,5,10,3,1,5,1,2,5
7599,4,4,7,1,8,3,1,4,3,2,5
7599,9,8,8,5,8,2,2,4,3,1,10
7602,9,9,9,9,9,1,1,3,1,2,7
7612,7,8,10,3,8,2,1,2,2,1,2
7615,9,10,10,6,8,1,1,6,1,4,10
7616,8,9,9,9,10,1,1,5,2,1,9
7616,7,6,10,5,10,1,2,3,1,1,7
7621,8,9,9,10,10,2,2,2,1,1,3
7627,8,8,8,8,8,2,1,5,3,2,1
7634,10,10,10,10,10,1,1,6,1,1,8
7638,10,9,10,10,10,2,2,4,1,2,8
7639,9,9,10,10,10,1,2,4,3,4,4
7650,4,5,9,3,8,2,2,4,1,2,3
7654,4,6,4,6,7,4,1,5,3,2,7
7654,9,9,9,9,9,2,1,2,1,1,10
7656,8,6,8,7,8,2,2,6,3,2,3
7660,9,10,9,5,4,3,2,5,3,2,7
7665,8,8,8,5,10,2,2,5,3,2,10
7667,7,8,8,5,9,3,1,5,1,1,11
7675,0,0,1,5,7,5,2,3,3,2,3
7677,5,5,10,0,8,1,1,2,2,3,5
7678,5,5,0,5,0,5,1,5,3,3,3
7685,8,8,10,8,7,2,1,3,1,1,2
7687,8,8,10,10,8,2,2,2,1,2,7
7697,8,9,3,5,3,4,1,4,2,3,11
7702,8,8,9,10,9,2,1,6,1,4,5
7704,8,8,8,9,10,3,1,6,3,4,11
7712,10,10,9,10,0,1,2,2,1,4,11
7719,8,9,9,9,9,1,1,5,1,2,6
7720,7,8,10,4,10,2,2,1,2,2,7
7722,6,10,10,5,8,1,1,2,2,1,5
7723,5,5,4,7,7,4,1,4,3,4,8
7725,7,8,6,5,9,2,1,3,1,2,8
7735,7,7,7,5,10,2,2,5,1,4,2
7742,10,10,10,8,7,4,1,5,1,2,2
7754,8,8,9,10,9,1,1,1,2,3,6
7760,9,9,10,10,10,3,1,5,3,1,2
7771,2,0,0,0,8,3,1,2,2,4,9
7773,8,8,9,9,8,2,1,5,3,3,3
7785,9,9,9,8,7,3,2,5,1,3,9
7785,10,10,8,10,10,2,2,6,3,3,3
7786,9,9,9,7,7,3,2,2,1,2,5
7789,6,8,7,4,4,2,2,2,2,1,8
7796,8,9,9,6,3,1,2,2,1,1,4
7800,8,8,8,7,7,2,2,1,2,2,7
7805,5,8,8,6,9,1,2,3,1,2,7
7808,10,10,5,10,8,4,2,6,3,4,4
7819,7,8,5,7,9,3,1,3,1,2,9
