Casenew,MCZ_1,MCZ_2,MCZ_8,MCZ_10,MCZ_17,QHealthr,RSEX,AGEXr,Martstat3r,HighEd4r,GorA
910,9,9,10,9,5,1,2,1,2,2,2
916,10,10,10,10,10,1,2,6,2,3,9
922,7,6,9,7,0,3,1,6,1,4,11
932,10,10,10,10,9,1,2,4,1,1,4
936,9,9,9,10,10,1,1,3,1,2,5
936,8,8,9,5,9,1,2,2,3,1,5
940,9,8,9,7,10,2,2,2,2,2,3
959,4,6,8,7,8,5,2,4,3,4,10
960,9,9,9,8,9,2,1,5,3,3,2
972,8,8,9,7,7,2,1,1,2,2,5
974,8,5,8,8,8,2,2,2,1,2,11
976,8,7,9,9,5,2,2,5,1,1,6
978,98,98,98,98,98,3,1,5,1,3,5
978,5,8,5,1,5,2,2,2,3,1,3
994,8,8,8,10,8,2,2,3,1,1,4
996,8,10,10,8,8,1,1,2,1,2,6
1004,8,7,7,7,10,2,2,6,3,4,11
1024,7,6,3,5,4,4,1,3,1,2,4
1031,7,7,7,7,8,2,2,5,3,4,2
1043,9,8,8,10,10,3,2,6,3,4,9
1078,4,2,9,7,6,2,2,2,1,2,1
1092,8,8,8,6,5,2,2,5,3,4,3
1112,9,9,9,9,8,1,2,2,1,1,8
1140,9,9,10,10,10,1,2,4,1,2,11
1144,6,5,4,7,6,2,1,1,2,2,5
1145,8,8,8,5,8,2,1,5,1,2,11
1185,5,5,5,3,5,2,1,2,3,4,7
1192,8,8,9,6,9,2,2,2,1,1,2
1193,0,10,5,8,10,4,2,5,3,4,11
1204,5,5,10,4,7,3,1,1,2,2,7
1207,7,6,8,8,10,1,1,4,3,1,7
1210,7,6,10,10,10,2,1,5,1,1,6
1211,8,8,8,7,7,2,1,3,1,2,11
1214,4,5,8,10,8,3,1,6,3,3,2
1224,5,9,9,1,1,1,2,2,2,2,4
1235,8,8,8,5,2,2,2,2,1,2,9
1247,9,8,9,6,8,1,2,2,1,2,5
1251,8,8,8,9,7,2,2,2,1,1,2
1252,8,8,7,7,7,3,2,3,3,4,3
1252,7,8,9,10,8,1,1,4,2,3,5
1261,8,9,8,7,9,2,1,3,1,2,11
1271,9,9,10,8,10,1,2,3,3,2,6
1275,10,10,10,10,5,1,2,6,3,4,8
1321,8,8,8,8,10,1,1,6,1,4,11
1328,8,9,10,4,4,1,1,2,1,1,4
1332,9,10,10,7,1,3,2,1,2,3,3
1333,6,4,8,2,9,3,1,4,2,4,8
1346,7,8,9,8,9,1,1,4,1,1,5
1352,8,8,8,8,5,2,2,1,2,2,5
1375,9,9,10,10,10,1,2,4,2,4,9
1377,10,10,9,6,6,1,2,6,3,3,2
1384,9,10,9,10,9,1,2,2,1,1,9
1389,5,5,7,3,7,3,2,3,3,2,6
1399,9,7,8,8,6,2,2,1,2,2,10
1400,9,9,9,9,5,1,2,5,1,2,10
1407,10,9,8,10,10,3,1,6,1,2,8
1410,9,9,10,8,9,3,2,4,2,2,7
1436,7,7,5,1,7,3,1,2,2,2,2
1437,7,7,5,5,3,2,2,2,2,3,2
1439,9,9,8,7,8,2,2,1,2,2,4
1440,7,6,9,7,8,1,1,1,2,1,2
1447,8,8,9,9,8,1,1,2,1,1,3
1461,9,7,9,9,9,1,2,4,3,1,7
1463,8,8,10,5,2,3,1,5,3,4,6
1472,99,99,9,7,10,2,2,6,3,2,8
1475,10,10,10,7,5,1,1,2,2,1,10
1490,8,8,8,7,8,1,1,3,1,1,8
1490,8,9,6,5,8,1,2,1,2,4,3
1494,5,6,9,5,7,1,2,2,2,4,10
1497,8,9,9,9,6,1,2,6,3,3,9
1503,7,10,8,8,9,3,2,6,3,1,2
1509,8,5,8,8,8,1,2,6,3,3,9
1516,8,8,8,6,8,1,1,1,2,2,4
1527,8,3,1,8,10,4,2,6,3,2,2
1532,10,10,10,5,9,1,2,2,1,2,2
1541,7,8,8,3,9,1,2,2,1,1,8
1545,10,10,10,5,9,1,2,2,1,2,4
1549,8,8,10,6,7,2,2,2,1,1,8
1551,7,5,5,5,8,3,1,4,2,2,5
1552,7,5,0,5,0,2,1,2,1,4,11
1563,7,7,4,4,8,3,1,3,1,4,3
1565,3,3,2,7,9,4,2,3,3,4,3
1571,7,8,9,8,8,1,2,4,3,3,8
1573,8,8,8,9,8,2,1,4,1,1,8
1591,7,8,9,6,7,1,1,1,2,2,7
1600,8,9,8,5,8,3,2,4,3,3,2
1604,9,10,9,7,10,2,1,4,1,2,6
1615,10,9,10,9,8,1,1,1,2,2,7
1616,8,5,5,1,5,2,2,4,3,2,7
1616,5,5,9,5,10,2,1,3,1,3,3
1618,10,9,9,9,9,3,1,5,1,2,6
1632,9,10,10,9,5,2,2,2,1,2,7
1634,8,8,8,7,10,1,2,1,2,2,11
1641,7,7,4,4,7,3,2,3,2,3,2
1662,10,8,10,9,10,2,2,5,1,1,5
1663,7,9,8,4,7,2,2,3,1,1,2
1666,4,6,5,3,7,1,1,4,3,2,7
1676,8,8,9,7,3,1,2,6,3,2,9
1699,5,9,10,7,10,2,1,3,3,3,5
1731,10,10,10,10,10,2,2,5,3,3,9
1750,6,8,9,8,9,3,2,5,3,2,8
1760,10,10,10,10,10,2,2,6,3,4,9
1771,8,7,9,3,7,1,1,2,1,2,11
1772,10,10,6,5,10,3,2,5,3,4,7
1775,7,8,10,8,8,2,1,2,2,2,9
1777,8,8,8,9,8,1,1,2,1,1,6
1780,7,8,10,7,9,2,1,3,1,2,11
